step,resstock-amy2018-2021-release-1-6887,resstock-amy2018-2021-release-1-123182,resstock-amy2018-2021-release-1-155572,resstock-amy2018-2021-release-1-20687,resstock-amy2018-2021-release-1-21356,resstock-amy2018-2021-release-1-223548,resstock-amy2018-2021-release-1-237652,resstock-amy2018-2021-release-1-249373,resstock-amy2018-2021-release-1-276878,resstock-amy2018-2021-release-1-283562,resstock-amy2018-2021-release-1-284099,resstock-amy2018-2021-release-1-290742,resstock-amy2018-2021-release-1-304920,resstock-amy2018-2021-release-1-321547,resstock-amy2018-2021-release-1-346066,resstock-amy2018-2021-release-1-394712,resstock-amy2018-2021-release-1-406573,resstock-amy2018-2021-release-1-412815,resstock-amy2018-2021-release-1-46421,resstock-amy2018-2021-release-1-471221,resstock-amy2018-2021-release-1-474782,resstock-amy2018-2021-release-1-494842,resstock-amy2018-2021-release-1-519975,resstock-amy2018-2021-release-1-92392,resstock-amy2018-2021-release-1-97045
0,21.77777862548828,23.88888931274414,27.22222137451172,24.44444465637207,23.913358688354492,24.44444465637207,25.55555534362793,21.666833877563477,25.55438232421875,22.22222137451172,25.55554962158203,22.22223472595215,23.88888931274414,24.44444465637207,22.77777862548828,24.444637298583984,26.11111068725586,24.998977661132812,27.22222137451172,24.44444465637207,24.44444465637207,23.33517074584961,23.333646774291992,25.55539894104004,25.946226119995117
1,21.77777862548828,23.88888931274414,27.22222137451172,24.44444465637207,25.716184616088867,24.44444465637207,25.55555534362793,21.66667938232422,25.01070213317871,22.22222137451172,25.55555534362793,22.22222328186035,23.88888931274414,24.44444465637207,22.77777862548828,24.44445037841797,26.11111068725586,25.55548095703125,27.22222137451172,24.44444465637207,24.44444465637207,23.333358764648438,23.333341598510742,25.55555534362793,25.563886642456055
2,21.77777862548828,23.88888931274414,27.22222137451172,24.44444465637207,26.10547637939453,24.44444465637207,25.55555534362793,21.666667938232422,23.383508682250977,22.22222137451172,25.55555534362793,22.22222137451172,23.88888931274414,24.44444465637207,22.77777862548828,24.44444465637207,26.11111068725586,25.555553436279297,27.22222137451172,24.44444465637207,24.44444465637207,23.33333396911621,23.33333396911621,25.55555534362793,25.55576515197754
3,21.77777862548828,23.88888931274414,27.22222137451172,24.44444465637207,26.111034393310547,24.44444465637207,25.55555534362793,21.66666603088379,23.336002349853516,22.22222137451172,25.55555534362793,23.38394546508789,23.88888931274414,24.44444465637207,22.77777862548828,24.44444465637207,26.11111068725586,26.110082626342773,27.22222137451172,24.44444465637207,24.44444465637207,23.33333396911621,23.33333396911621,25.55555534362793,25.555564880371094
4,21.77777862548828,23.88888931274414,27.22222137451172,24.44444465637207,24.70484161376953,24.44444465637207,25.55555534362793,21.66666603088379,23.333446502685547,22.22222137451172,25.55555534362793,23.943376541137695,23.88888931274414,24.44444465637207,22.77777862548828,24.44444465637207,26.11111068725586,26.111093521118164,27.22222137451172,24.44444465637207,24.44444465637207,23.33333396911621,23.33333396911621,25.55555534362793,25.55555534362793
5,21.77777862548828,23.88888931274414,27.22222137451172,24.44444465637207,23.93716812133789,24.77582550048828,24.92012596130371,21.66666603088379,24.05488395690918,22.22222137451172,25.55555534362793,24.99233627319336,23.88888931274414,24.44444465637207,22.77777862548828,24.44444465637207,26.11111068725586,26.11111068725586,27.22222137451172,24.121417999267578,24.965999603271484,23.777379989624023,23.33333396911621,25.55555534362793,25.55555534362793
6,21.77777862548828,23.88888931274414,27.22222137451172,24.44444465637207,23.889991760253906,24.999616622924805,25.10909080505371,23.763856887817383,24.720287322998047,22.22222137451172,26.11038589477539,24.9999942779541,23.88888931274414,24.44444465637207,22.77777862548828,24.44444465637207,26.11111068725586,26.11111068725586,27.22222137451172,23.354677200317383,25.5555477142334,23.888864517211914,23.33333396911621,25.55555534362793,25.55555534362793
7,21.77777862548828,23.88888931274414,27.22222137451172,24.99846076965332,23.888898849487305,24.999998092651367,25.555110931396484,25.54397201538086,25.55284881591797,22.22222137451172,26.6655216217041,25.0,23.88888931274414,24.775955200195312,22.77777862548828,24.44444465637207,26.11111068725586,26.666061401367188,27.22222137451172,23.333595275878906,25.55555534362793,26.856887817382812,27.18204116821289,25.55555534362793,25.55555534362793
8,21.77777862548828,23.88888931274414,27.22222137451172,24.9999942779541,26.374099731445312,25.0,25.555553436279297,25.55554962158203,24.947193145751953,22.22222137451172,25.893014907836914,25.0,23.88888931274414,26.106836318969727,22.77777862548828,25.71869659423828,26.11111068725586,26.66666603088379,27.22222137451172,23.333335876464844,26.110769271850586,23.93134880065918,27.222150802612305,25.002742767333984,25.55555534362793
9,21.77777862548828,23.88888931274414,27.22222137451172,26.662620544433594,25.779211044311523,25.0,25.55555534362793,25.55555534362793,24.999967575073242,22.22222137451172,25.003501892089844,25.0,23.88888931274414,26.832448959350586,22.77777862548828,26.665061950683594,26.11111068725586,26.66666603088379,27.22222137451172,23.33333396911621,26.11111068725586,23.888946533203125,27.22222137451172,25.000001907348633,25.55555534362793
10,21.77777862548828,23.88888931274414,27.22222137451172,26.666664123535156,25.00261116027832,25.0,25.55555534362793,25.55555534362793,26.053844451904297,22.22222137451172,25.333284378051758,25.0,23.88888931274414,27.222009658813477,22.77777862548828,26.66666603088379,26.666637420654297,27.22200584411621,27.22222137451172,23.33333396911621,26.11111068725586,23.88888931274414,27.22222137451172,25.0,25.55555534362793
11,21.77777862548828,23.88888931274414,27.22222137451172,26.66666603088379,25.943439483642578,25.0,25.55555534362793,25.55555534362793,26.05555534362793,22.22222137451172,26.663434982299805,25.0,23.88888931274414,27.22222137451172,22.77777862548828,26.66666603088379,26.66666603088379,27.22222137451172,27.22222137451172,23.33333396911621,26.11111068725586,23.88888931274414,27.22222137451172,25.0,25.55555534362793
